district,year,murder
FAIZABAD,2010,0
FATEHGARH,2010,0
FATEHPUR,2010,0
FIROZABAD,2010,0
G.R.P.,2010,0
"GAUTAMBUDH NAGAR",2010,0
GHAZIABAD,2010,0
GHAZIPUR,2010,0
GONDA,2010,0
GORAKHPUR,2010,0
HAMIRPUR,2010,0
HARDOI,2010,0
HATHRAS,2010,0
J.P.NAGAR,2010,0
JALAUN,2010,0
JAUNPUR,2010,0
JHANSI,2010,0
KANNAUJ,2010,0
"KANPUR NAGAR",2010,0
"KANSHIRAM NAGAR",2010,0
KAUSHAMBI,2010,0
KHIRI,2010,0
"KUSHI NAGAR",2010,0
LALITPUR,2010,0
LUCKNOW,2010,0
MAHARAJGANJ,2010,0
MAHOBA,2010,0
MAINPURI,2010,0
MATHURA,2010,0
MAU,2010,0
MEERUT,2010,0
MIRZAPUR,2010,0
MORADABAD,2010,0
MUZAFFARNAGAR,2010,0
PILIBHIT,2010,0
PRATAPGARH,2010,0
RAIBAREILLY,2010,0
"RAMABAI NAGAR",2010,0
RAMPUR,2010,0
SAHARANPUR,2010,0
"SANT KABIRNAGAR",2010,0
SHAHJAHANPUR,2010,0
SHRAWASTI,2010,0
SIDHARTHNAGAR,2010,0
SITAPUR,2010,0
SONBHADRA,2010,0
ST.RAVIDASNAGAR,2010,0
SULTANPUR,2010,0
UNNAO,2010,0
VARANASI,2010,0
ALMORA,2010,0
BAGESHWAR,2010,0
CHAMOLI,2010,0
CHAMPAWAT,2010,0
DEHRADUN,2010,0
HARIDWAR,2010,0
NAINITAL,2010,0
"PAURI GARHWAL",2010,0
PITHORAGARH,2010,0
"RUDRA PRAYAG",2010,0
"TEHRI GARHWAL",2010,0
"UDHAMSINGH NAGAR",2010,0
UTTARKASHI,2010,0
"24 PARGANAS NORTH",2010,0
"24 PARGANAS SOUTH",2010,0
ASANSOL,2010,0
BANKURA,2010,0
BIRBHUM,2010,0
BURDWAN,2010,0
COOCHBEHAR,2010,0
"DAKSHIN DINAJPUR",2010,0
DARJEELING,2010,0
HOOGHLY,2010,0
HOWRAH,2010,0
"HOWRAH G.R.P.",2010,0
JALPAIGURI,2010,0
"KHARAGPUR G.R.P.",2010,0
KOLKATA,2010,0
MALDA,2010,0
MURSHIDABAD,2010,0
NADIA,2010,0
"PASCHIM MIDNAPUR",2010,0
"PURAB MIDNAPUR",2010,0
PURULIA,2010,0
"SEALDAH G.R.P.",2010,0
"SILIGURI G.R.P.",2010,0
"UTTAR DINAJPUR",2010,0
ANDAMAN,2010,0
NICOBAR,2010,0
CHANDIGARH,2010,0
"D and N HAVELI",2010,0
DAMAN,2010,0
DIU,2010,0
CAW,2010,0
CENTRAL,2010,0
"CRIME BRANCH",2010,0
EAST,2010,0
EOW,2010,0
GRP(RLY),2010,0
"IGI AIRPORT",2010,0
"NEW DELHI",2010,0
NORTH,2010,0
NORTH-EAST,2010,0
NORTH-WEST,2010,0
OUTER,2010,0
SOUTH,2010,0
SOUTH-EAST,2010,0
SOUTH-WEST,2010,0
STF,2010,0
WEST,2010,0
LAKSHADWEEP,2010,0
KARAIKAL,2010,0
PUDUCHERRY,2010,0
ADILABAD,2011,0
ANANTAPUR,2011,0
CHITTOOR,2011,0
CUDDAPAH,2011,0
CYBERABAD,2011,0
"GUNTAKAL RLY.",2011,0
GUNTUR,2011,0
"GUNTUR URBAN",2011,0
"HYDERABAD CITY",2011,0
KARIMNAGAR,2011,0
KHAMMAM,2011,0
KRISHNA,2011,0
KURNOOL,2011,0
MEDAK,2011,0
NALGONDA,2011,0
NELLORE,2011,0
PRAKASHAM,2011,0
RAJAHMUNDRY,2011,0
"RANGA REDDY",2011,0
"SECUNDERABAD RLY.",2011,0
SRIKAKULAM,2011,0
"TIRUPATHI URBAN",2011,0
"VIJAYAWADA CITY",2011,0
"VIJAYAWADA RLY.",2011,0
VISAKHAPATNAM,2011,0
VIZIANAGARAM,2011,0
WARANGAL,2011,0
"WARANGAL URBAN",2011,0
"WEST GODAVARI",2011,0
ANJAW,2011,0
CHANGLANG,2011,0
"DIBANG VALLEY",2011,0
K/KUMEY,2011,0
"KAMENG EAST",2011,0
"KAMENG WEST",2011,0
"PAPUM PARE",2011,0
RURAL,2011,0
"SIANG EAST",2011,0
"SIANG UPPER",2011,0
"SIANG WEST",2011,0
"SUBANSIRI LOWER",2011,0
"SUBANSIRI UPPER",2011,0
TAWANG,2011,0
TIRAP,2011,0
"UPPER DIBANG VALLEY",2011,0
BARPETA,2011,0
BASKA,2011,0
BONGAIGAON,2011,0
C.I.D.,2011,0
CACHAR,2011,0
CHIRANG,2011,0
DARRANG,2011,0
DHEMAJI,2011,0
DHUBRI,2011,0
DIBRUGARH,2011,0
G.R.P.,2011,0
GOALPARA,2011,0
GOLAGHAT,2011,0
"GUWAHATI CITY",2011,0
HAILAKANDI,2011,0
JORHAT,2011,0
KAMRUP,2011,0
"KARBI ANGLONG",2011,0
KARIMGANJ,2011,0
KOKRAJHAR,2011,0
LAKHIMPUR,2011,0
MORIGAON,2011,0
N.C.HILLS,2011,0
NAGAON,2011,0
NALBARI,2011,0
R.P.O.,2011,0
SIBSAGAR,2011,0
SONITPUR,2011,0
TINSUKIA,2011,0
UDALGURI,2011,0
ARARIA,2011,0
ARWAL,2011,0
AURANGABAD,2011,0
BAGAHA,2011,0
BANKA,2011,0
BEGUSARAI,2011,0
BETTIAH,2011,0
BHABHUA,2011,0
BHAGALPUR,2011,0
BHOJPUR,2011,0
BUXAR,2011,0
DARBHANGA,2011,0
GAYA,2011,0
GOPALGANJ,2011,0
"JAMALPUR RLY.",2011,0
JEHANABAD,2011,0
KATIHAR,2011,0
"KATIHAR RLY.",2011,0
KHAGARIA,2011,0
KISHANGANJ,2011,0
LAKHISARAI,2011,0
MADHEPURA,2011,0
MADHUBANI,2011,0
MOTIHARI,2011,0
MUNGER,2011,0
MUZAFFARPUR,2011,0
"MUZAFFARPUR RLY.",2011,0
NALANDA,2011,0
NAUGACHIA,2011,0
