state,District,year,Kidnapping
"ANDHRA PRADESH","GUNTAKAL RLY.",2001,0
"ANDHRA PRADESH","SECUNDERABAD RLY.",2001,0
"ANDHRA PRADESH","VIJAYAWADA RLY.",2001,0
"ARUNACHAL PRADESH",TAWANG,2001,0
ASSAM,C.I.D.,2001,0
ASSAM,G.R.P.,2001,0
ASSAM,R.P.O.,2001,0
BIHAR,ARWAL,2001,0
BIHAR,"JAMALPUR RLY.",2001,0
CHHATTISGARH,BIZAPUR,2001,0
CHHATTISGARH,"GRP RAIPUR",2001,0
CHHATTISGARH,KAWARDHA,2001,0
GUJARAT,W.RLY,2001,0
"HIMACHAL PRADESH",G.R.P.,2001,0
"JAMMU & KASHMIR","CRIME JAMMU",2001,0
"JAMMU & KASHMIR","CRIME SRINAGAR",2001,0
"JAMMU & KASHMIR",RAILWAYS,2001,0
JHARKHAND,DEOGHAR,2001,0
JHARKHAND,"DHANBAD RLY.",2001,0
JHARKHAND,DUMKA,2001,0
JHARKHAND,"JAMSHEDPUR RLY.",2001,0
JHARKHAND,PAKUR,2001,0
KARNATAKA,CHITRADURGA,2001,0
KARNATAKA,HASSAN,2001,0
KARNATAKA,RAILWAYS,2001,0
KARNATAKA,UDUPI,2001,0
KERALA,CBCID,2001,0
KERALA,IDUKKI,2001,0
KERALA,PATHANAMTHITTA,2001,0
KERALA,RAILWAYS,2001,0
"MADHYA PRADESH","INDORE RLY.",2001,0
"MADHYA PRADESH","JABALPUR RLY.",2001,0
MAHARASHTRA,"MUMBAI RLY.",2001,0
MAHARASHTRA,"NAGPUR RLY.",2001,0
MAHARASHTRA,"PUNE RLY.",2001,0
MANIPUR,CHURACHANDPUR,2001,0
MANIPUR,SENAPATI,2001,0
MANIPUR,TAMENGLONG,2001,0
MEGHALAYA,"GARO HILLS EAST",2001,0
MEGHALAYA,"GARO HILLS SOUTH",2001,0
MEGHALAYA,"GARO HILLS WEST",2001,0
MEGHALAYA,"KHASI HILLS WEST",2001,0
MIZORAM,AIZAWL,2001,0
MIZORAM,CHAMPHAI,2001,0
MIZORAM,KOLASIB,2001,0
MIZORAM,LAWNGTLAI,2001,0
MIZORAM,LUNGLEI,2001,0
MIZORAM,MAMIT,2001,0
MIZORAM,SAIHA,2001,0
NAGALAND,KIPHIRE,2001,0
NAGALAND,KOHIMA,2001,0
NAGALAND,MOKOKCHUNG,2001,0
NAGALAND,PEREN,2001,0
NAGALAND,PHEK,2001,0
NAGALAND,TUENSANG,2001,0
NAGALAND,WOKHA,2001,0
NAGALAND,ZUNHEBOTO,2001,0
ODISHA,RAYAGADA,2001,0
PUNJAB,G.R.P,2001,0
SIKKIM,NORTH,2001,0
SIKKIM,SOUTH,2001,0
"TAMIL NADU",CHENNAI,2001,0
"TAMIL NADU","CHENNAI RLY.",2001,0
"TAMIL NADU",THOOTHUGUDI,2001,0
"TAMIL NADU","TRICHY RLY.",2001,0
"TAMIL NADU",VELLORE,2001,0
TRIPURA,DHALAI,2001,0
UTTARAKHAND,NAINITAL,2001,0
UTTARAKHAND,PITHORAGARH,2001,0
UTTARAKHAND,"RUDRA PRAYAG",2001,0
"WEST BENGAL",ASANSOL,2001,0
"WEST BENGAL","SILIGURI G.R.P.",2001,0
"A & N ISLANDS",NICOBAR,2001,0
"DAMAN & DIU",DIU,2001,0
DELHI,S.T.F.,2001,0
LAKSHADWEEP,LAKSHADWEEP,2001,0
LAKSHADWEEP,TOTAL,2001,0
"ANDHRA PRADESH","GUNTAKAL RLY.",2002,0
"ANDHRA PRADESH","SECUNDERABAD RLY.",2002,0
"ANDHRA PRADESH","VIJAYAWADA RLY.",2002,0
"ANDHRA PRADESH","VISAKHA RURAL",2002,0
"ANDHRA PRADESH",VIZIANAGARAM,2002,0
"ARUNACHAL PRADESH","SIANG UPPER",2002,0
"ARUNACHAL PRADESH",TAWANG,2002,0
"ARUNACHAL PRADESH",TIRAP,2002,0
