district,murder,year
ADILABAD,0,2001
ANANTAPUR,0,2001
CHITTOOR,0,2001
CUDDAPAH,0,2001
"EAST GODAVARI",0,2001
"GUNTAKAL RLY.",0,2001
GUNTUR,0,2001
"HYDERABAD CITY",0,2001
KARIMNAGAR,0,2001
KRISHNA,0,2001
KURNOOL,0,2001
MEDAK,0,2001
NIZAMABAD,0,2001
PRAKASHAM,0,2001
"RANGA REDDY",0,2001
"SECUNDERABAD RLY.",0,2001
SRIKAKULAM,0,2001
VIJAYAWADA,0,2001
"VIJAYAWADA RLY.",0,2001
"VISAKHA RURAL",0,2001
VISAKHAPATNAM,0,2001
VIZIANAGARAM,0,2001
WARANGAL,0,2001
"WEST GODAVARI",0,2001
CHANGLANG,0,2001
"DIBANG VALLEY",0,2001
"KAMENG EAST",0,2001
"KAMENG WEST",0,2001
"SIANG UPPER",0,2001
"SIANG WEST",0,2001
"SUBANSIRI LOWER",0,2001
"SUBANSIRI UPPER",0,2001
TAWANG,0,2001
TIRAP,0,2001
BARPETA,0,2001
BONGAIGAON,0,2001
C.I.D.,0,2001
CACHAR,0,2001
DARRANG,0,2001
DHEMAJI,0,2001
DHUBRI,0,2001
DIBRUGARH,0,2001
G.R.P.,0,2001
GOALPARA,0,2001
GOLAGHAT,0,2001
"GUWAHATI CITY",0,2001
HAILAKANDI,0,2001
JORHAT,0,2001
KAMRUP,0,2001
"KARBI ANGLONG",0,2001
KARIMGANJ,0,2001
KOKRAJHAR,0,2001
LAKHIMPUR,0,2001
MORIGAON,0,2001
"N.C. HILLS",0,2001
NAGAON,0,2001
NALBARI,0,2001
R.P.O.,0,2001
SIBSAGAR,0,2001
SONITPUR,0,2001
TINSUKIA,0,2001
ARWAL,0,2001
AURANGABAD,0,2001
BAGAHA,0,2001
BANKA,0,2001
BEGUSARAI,0,2001
BETTIAH,0,2001
BHABHUA,0,2001
BHAGALPUR,0,2001
BHOJPUR,0,2001
BUXAR,0,2001
DARBHANGA,0,2001
GAYA,0,2001
GOPALGANJ,0,2001
"JAMALPUR RLY.",0,2001
JAMUI,0,2001
JEHANABAD,0,2001
KATIHAR,0,2001
"KATIHAR RLY.",0,2001
KHAGARIA,0,2001
KISHANGANJ,0,2001
LAKHISARAI,0,2001
MADHEPURA,0,2001
MADHUBANI,0,2001
MOTIHARI,0,2001
MUNGER,0,2001
MUZAFFARPUR,0,2001
"MUZAFFARPUR RLY.",0,2001
NALANDA,0,2001
NAUGACHIA,0,2001
NAWADAH,0,2001
PATNA,0,2001
"PATNA RLY.",0,2001
PURNEA,0,2001
ROHTAS,0,2001
SAHARSA,0,2001
SAMASTIPUR,0,2001
SARAN,0,2001
SHEIKHPURA,0,2001
SHEOHAR,0,2001
SITAMARHI,0,2001
SIWAN,0,2001
SUPAUL,0,2001
VAISHALI,0,2001
BALRAMPUR,0,2001
BIZAPUR,0,2001
DANTEWARA,0,2001
DHAMTARI,0,2001
DURG,0,2001
"GRP RAIPUR",0,2001
JASHPUR,0,2001
KORIYA,0,2001
MAHASAMUND,0,2001
RAIGARH,0,2001
RAIPUR,0,2001
RAJNANDGAON,0,2001
"NORTH GOA",0,2001
"SOUTH GOA",0,2001
"AHMEDABAD COMMR.",0,2001
"AHMEDABAD RURAL",0,2001
AHWA-DANG,0,2001
AMRELI,0,2001
ANAND,0,2001
BHARUCH,0,2001
BHAVNAGAR,0,2001
DAHOD,0,2001
GANDHINAGAR,0,2001
HIMATNAGAR,0,2001
JAMNAGAR,0,2001
JUNAGADH,0,2001
"KHEDA NORTH",0,2001
KUTCH,0,2001
MEHSANA,0,2001
NARMADA,0,2001
NAVSARI,0,2001
PATAN,0,2001
PORBANDAR,0,2001
"RAJKOT COMMR.",0,2001
"RAJKOT RURAL",0,2001
"SURAT COMMR.",0,2001
SURENDRANAGAR,0,2001
VALSAD,0,2001
W.RLY,0,2001
AMBALA,0,2001
BHIWANI,0,2001
FARIDABAD,0,2001
FATEHABAD,0,2001
GRP,0,2001
GURGAON,0,2001
HISAR,0,2001
JHAJJAR,0,2001
JIND,0,2001
KAITHAL,0,2001
KARNAL,0,2001
KURUKSHETRA,0,2001
MAHENDERGARH,0,2001
PANCHKULA,0,2001
PANIPAT,0,2001
REWARI,0,2001
ROHTAK,0,2001
SIRSA,0,2001
SONIPAT,0,2001
YAMUNANAGAR,0,2001
BILASPUR,0,2001
CHAMBA,0,2001
G.R.P.,0,2001
HAMIRPUR,0,2001
KANGRA,0,2001
KINNAUR,0,2001
KULLU,0,2001
LAHAUL-SPITI,0,2001
MANDI,0,2001
SHIMLA,0,2001
SIRMAUR,0,2001
SOLAN,0,2001
UNA,0,2001
ANANTNAG,0,2001
ANANTNAG,0,2001
AWANTIPORA,0,2001
BARAMULLA,0,2001
BORDER,0,2001
BUDGAM,0,2001
"CRIME JAMMU",0,2001
"CRIME SRINAGAR",0,2001
DODA,0,2001
GANDERBAL,0,2001
JAMMU,0,2001
KARGIL,0,2001
KATHUA,0,2001
KULGAM,0,2001
KUPWARA,0,2001
LEH,0,2001
POONCH,0,2001
PULWAMA,0,2001
RAILWAYS,0,2001
RAJOURI,0,2001
RAMBAN,0,2001
REASI,0,2001
SRINAGAR,0,2001
UDHAMPUR,0,2001
BOKARO,0,2001
CHAIBASA,0,2001
DEOGHAR,0,2001
DHANBAD,0,2001
"DHANBAD RLY.",0,2001
DUMKA,0,2001
GARHWA,0,2001
GIRIDIH,0,2001
GODDA,0,2001
GUMALA,0,2001
HAZARIBAGH,0,2001
JAMSHEDPUR,0,2001
"JAMSHEDPUR RLY.",0,2001
JAMTARA,0,2001
KODERMA,0,2001
LATEHAR,0,2001
LOHARDAGGA,0,2001
PAKUR,0,2001
PALAMU,0,2001
SARAIKELA,0,2001
SIMDEGA,0,2001
BAGALKOT,0,2001
"BANGALORE COMMR.",0,2001
"BANGALORE RURAL",0,2001
BELGAUM,0,2001
BELLARY,0,2001
BIDAR,0,2001
BIJAPUR,0,2001
CHAMARAJNAGAR,0,2001
CHICKMAGALUR,0,2001
CHITRADURGA,0,2001
"DAKSHIN KANNADA",0,2001
DAVANAGERE,0,2001
"DHARWAD COMMR.",0,2001
"DHARWAD RURAL",0,2001
GADAG,0,2001
GULBARGA,0,2001
HASSAN,0,2001
HAVERI,0,2001
K.G.F.,0,2001
KOLAR,0,2001
KOPPAL,0,2001
MANDYA,0,2001
"MYSORE COMMR.",0,2001
"MYSORE RURAL",0,2001
RAICHUR,0,2001
RAILWAYS,0,2001
SHIMOGA,0,2001
TUMKUR,0,2001
UDUPI,0,2001
"UTTAR KANNADA",0,2001
ALAPUZHA,0,2001
CBCID,0,2001
ERNAKULAM,0,2001
IDUKKI,0,2001
KASARGOD,0,2001
KOLLAM,0,2001
KOTTAYAM,0,2001
KOZHIKODE,0,2001
MALAPPURAM,0,2001
PATHANAMTHITTA,0,2001
RAILWAYS,0,2001
TRIVANDRUM,0,2001
BETUL,0,2001
BHIND,0,2001
"BHOPAL RLY.",0,2001
CHHATARPUR,0,2001
DAMOH,0,2001
DATIYA,0,2001
DEWAS,0,2001
DINDORI,0,2001
HARDA,0,2001
INDORE,0,2001
"INDORE RLY.",0,2001
"JABALPUR RLY.",0,2001
JHABUA,0,2001
KATNI,0,2001
KHARGON,0,2001
MANDSAUR,0,2001
MORENA,0,2001
NARSINGHPUR,0,2001
NEEMUCH,0,2001
RAISEN,0,2001
REWA,0,2001
SATNA,0,2001
SEONI,0,2001
SHAHDOL,0,2001
SHAJAPUR,0,2001
SIDHI,0,2001
UJJAIN,0,2001
UMARIYA,0,2001
VIDISHA,0,2001
AKOLA,0,2001
"AMRAVATI COMMR.",0,2001
"AMRAVATI RURAL",0,2001
"AURANGABAD COMMR.",0,2001
"AURANGABAD RURAL",0,2001
BEED,0,2001
BHANDARA,0,2001
BULDHANA,0,2001
CHANDRAPUR,0,2001
