state,District,year,rape
"ANDHRA PRADESH","GUNTAKAL RLY.",2001,0
"ANDHRA PRADESH","SECUNDERABAD RLY.",2001,0
"ARUNACHAL PRADESH","KAMENG WEST",2001,0
ASSAM,C.I.D.,2001,0
BIHAR,ARWAL,2001,0
BIHAR,"KATIHAR RLY.",2001,0
CHHATTISGARH,"GRP RAIPUR",2001,0
HARYANA,GRP,2001,0
"HIMACHAL PRADESH",G.R.P.,2001,0
"JAMMU & KASHMIR","CRIME JAMMU",2001,0
"JAMMU & KASHMIR","CRIME SRINAGAR",2001,0
"JAMMU & KASHMIR",KARGIL,2001,0
"JAMMU & KASHMIR",LEH,2001,0
"JAMMU & KASHMIR",RAILWAYS,2001,0
"MADHYA PRADESH","JABALPUR RLY.",2001,0
MAHARASHTRA,"PUNE RLY.",2001,0
MANIPUR,CHANDEL,2001,0
MANIPUR,SENAPATI,2001,0
MANIPUR,TAMENGLONG,2001,0
MANIPUR,UKHRUL,2001,0
MIZORAM,MAMIT,2001,0
NAGALAND,KIPHIRE,2001,0
NAGALAND,PEREN,2001,0
NAGALAND,TUENSANG,2001,0
PUNJAB,G.R.P,2001,0
SIKKIM,NORTH,2001,0
SIKKIM,WEST,2001,0
"TAMIL NADU","CHENNAI RLY.",2001,0
"TAMIL NADU",THANJAVUR,2001,0
"TAMIL NADU","TRICHY RLY.",2001,0
UTTARAKHAND,CHAMPAWAT,2001,0
"WEST BENGAL",ASANSOL,2001,0
"WEST BENGAL","SILIGURI G.R.P.",2001,0
"A & N ISLANDS",NICOBAR,2001,0
"DAMAN & DIU",DAMAN,2001,0
"DAMAN & DIU",DIU,2001,0
"DAMAN & DIU",TOTAL,2001,0
DELHI,"I.G.I. AIRPORT",2001,0
DELHI,S.T.F.,2001,0
LAKSHADWEEP,LAKSHADWEEP,2001,0
LAKSHADWEEP,TOTAL,2001,0
"ANDHRA PRADESH","SECUNDERABAD RLY.",2002,0
"ARUNACHAL PRADESH","KAMENG WEST",2002,0
ASSAM,C.I.D.,2002,0
ASSAM,G.R.P.,2002,0
BIHAR,ARWAL,2002,0
BIHAR,"JAMALPUR RLY.",2002,0
"HIMACHAL PRADESH",G.R.P.,2002,0
"HIMACHAL PRADESH",LAHAUL-SPITI,2002,0
"JAMMU & KASHMIR","CRIME JAMMU",2002,0
"JAMMU & KASHMIR","CRIME SRINAGAR",2002,0
"JAMMU & KASHMIR",HANDWARA,2002,0
"JAMMU & KASHMIR",RAILWAYS,2002,0
KARNATAKA,"DHARWAD RURAL",2002,0
KARNATAKA,RAILWAYS,2002,0
KERALA,CBCID,2002,0
KERALA,RAILWAYS,2002,0
"MADHYA PRADESH","JABALPUR RLY.",2002,0
MAHARASHTRA,"NAGPUR RLY.",2002,0
MANIPUR,CHANDEL,2002,0
MANIPUR,CHURACHANDPUR,2002,0
MANIPUR,SENAPATI,2002,0
MANIPUR,TAMENGLONG,2002,0
NAGALAND,MOKOKCHUNG,2002,0
NAGALAND,MON,2002,0
NAGALAND,PEREN,2002,0
ODISHA,SRP(ROURKELA),2002,0
PUNJAB,"FATEHGARH SAHIB",2002,0
PUNJAB,G.R.P,2002,0
SIKKIM,NORTH,2002,0
"TAMIL NADU","CHENNAI RLY.",2002,0
"TAMIL NADU","TRICHY RLY.",2002,0
"UTTAR PRADESH",ST.RAVIDASNAGAR,2002,0
UTTARAKHAND,"RUDRA PRAYAG",2002,0
"WEST BENGAL","KHARAGPUR G.R.P.",2002,0
"WEST BENGAL","SEALDAH G.R.P.",2002,0
"WEST BENGAL","SILIGURI G.R.P.",2002,0
"DAMAN & DIU",DAMAN,2002,0
"DAMAN & DIU",DIU,2002,0
"DAMAN & DIU",TOTAL,2002,0
DELHI,G.R.P.(RLY),2002,0
DELHI,"I.G.I. AIRPORT",2002,0
DELHI,S.T.F.,2002,0
DELHI,"SPL CELL",2002,0
"ANDHRA PRADESH","SECUNDERABAD RLY.",2003,0
